,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
218,San,13.3034,-4.8956,92.23,13,100,8.23,ML,overcast clouds,2022-04-22 23:11:24
219,Macusani,-14.0833,-70.4333,38.75,79,86,2.37,PE,overcast clouds,2022-04-22 23:11:24
220,Mabaruma,8.2,-59.7833,74.48,86,93,4.23,GY,overcast clouds,2022-04-22 23:11:25
221,Chaman,30.9236,66.4512,68.74,18,18,3.8,PK,few clouds,2022-04-22 23:08:21
222,Barinas,8.6226,-70.2075,83.12,60,72,4.21,VE,broken clouds,2022-04-22 23:07:51
223,Karaman,37.0833,33.25,53.56,43,0,3.6,TR,clear sky,2022-04-22 23:11:25
224,Nampula,-15.1165,39.2666,70.09,98,92,9.06,MZ,overcast clouds,2022-04-22 23:11:26
225,Havre-Saint-Pierre,50.2334,-63.5986,33.24,99,99,8.23,CA,overcast clouds,2022-04-22 23:11:26
226,Cabanas,22.9758,-82.9219,78.46,73,30,20.83,CU,scattered clouds,2022-04-22 23:11:27
227,Bandarbeyla,9.4942,50.8122,81.81,78,31,6.53,SO,scattered clouds,2022-04-22 23:11:27
228,Brae,60.3964,-1.353,45.19,79,76,20.45,GB,broken clouds,2022-04-22 23:11:28
229,Chapada Dos Guimaraes,-15.4606,-55.7497,74.86,68,27,4.72,BR,scattered clouds,2022-04-22 23:11:28
230,Butterworth,5.3991,100.3638,82.44,89,40,0.0,MY,scattered clouds,2022-04-22 23:11:28
231,Madoc,44.5084,-77.4745,55.78,53,7,3.2,CA,clear sky,2022-04-22 23:11:29
232,Adrar,20.5022,-10.0711,75.27,17,78,11.32,MR,broken clouds,2022-04-22 23:11:01
233,Vardo,70.3705,31.1107,36.12,97,97,13.0,NO,overcast clouds,2022-04-22 23:11:29
234,Luquillo,18.3725,-65.7166,79.02,79,80,10.54,PR,broken clouds,2022-04-22 23:11:30
235,Westport,41.1415,-73.3579,66.18,29,0,11.5,US,clear sky,2022-04-22 23:07:50
236,Vila Velha,-20.3297,-40.2925,80.55,75,0,11.5,BR,clear sky,2022-04-22 23:11:30
237,Laje,-10.1833,-40.9667,76.41,64,88,8.57,BR,overcast clouds,2022-04-22 23:11:31
238,Rio Grande,-32.035,-52.0986,64.17,96,100,18.63,BR,light rain,2022-04-22 23:11:31
239,Damara,4.9608,18.7035,73.42,87,95,2.42,CF,overcast clouds,2022-04-22 23:11:31
240,Sinnamary,5.3833,-52.95,75.51,91,100,5.91,GF,overcast clouds,2022-04-22 23:11:32
241,Bukama,-9.2,25.85,67.98,96,58,2.17,CD,light rain,2022-04-22 23:11:32
242,Goiatuba,-18.0125,-49.3547,70.38,47,71,3.51,BR,broken clouds,2022-04-22 23:11:33
243,Asfi,32.2994,-9.2372,61.36,80,42,21.92,MA,light rain,2022-04-22 23:11:33
244,Tyulgan,52.3405,56.166,42.57,67,43,11.77,RU,scattered clouds,2022-04-22 23:11:33
245,Middelkerke,51.1558,2.8418,55.18,68,0,13.8,BE,clear sky,2022-04-22 23:11:34
246,Kushmurun,52.4503,64.6311,36.39,46,2,6.62,KZ,clear sky,2022-04-22 23:11:34
247,Garowe,8.4054,48.4845,77.76,70,24,10.31,SO,few clouds,2022-04-22 23:11:02
248,Colombia,20.9881,-77.4297,76.39,75,89,15.93,CU,overcast clouds,2022-04-22 23:11:35
249,Ndioum,16.5129,-14.6471,90.16,14,56,15.3,SN,broken clouds,2022-04-22 23:11:35
250,Dorfen,48.2667,12.15,47.55,92,99,9.64,DE,overcast clouds,2022-04-22 23:11:36
251,Ladario,-19.0047,-57.6017,85.39,47,87,2.73,BR,overcast clouds,2022-04-22 23:11:36
252,Ajdabiya,30.7554,20.2263,67.01,64,95,12.82,LY,overcast clouds,2022-04-22 23:11:36
253,Mmabatho,-25.85,25.6333,61.88,76,96,4.94,ZA,light rain,2022-04-22 23:11:37
254,Celldomolk,47.2571,17.1503,48.65,97,100,8.34,HU,overcast clouds,2022-04-22 23:11:37
255,Nador,35.174,-2.9287,59.25,67,0,3.44,MA,clear sky,2022-04-22 23:11:38
256,Najran,17.4924,44.1277,72.59,22,29,3.2,SA,scattered clouds,2022-04-22 23:11:38
257,Pastavy,55.1168,26.8326,44.8,81,80,9.95,BY,broken clouds,2022-04-22 23:11:38
258,Mwinilunga,-11.7358,24.4293,61.59,95,74,2.91,ZM,broken clouds,2022-04-22 23:11:39
259,Sao Felix Do Xingu,-6.6447,-51.995,73.69,89,86,0.69,BR,overcast clouds,2022-04-22 23:11:39
